order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_revenue,line_cost
1,UB-000001,128,1,177.95,0.0,177.95,141.91
2,UB-000001,88,1,702.06,15.0,596.75,553.89
3,UB-000002,82,5,1020.26,0.0,5101.3,3426.65
4,UB-000003,138,1,926.86,20.0,741.49,604.6
5,UB-000003,30,1,1368.42,0.0,1368.42,865.11
6,UB-000003,110,2,951.69,0.0,1903.38,1358.68
7,UB-000004,82,1,1047.31,0.0,1047.31,685.33
8,UB-000005,49,2,979.72,10.0,1763.5,1228.08
9,UB-000006,130,1,905.6,0.0,905.6,653.53
10,UB-000007,47,2,107.92,0.0,215.84,174.96
11,UB-000008,95,2,473.28,0.0,946.56,739.6
12,UB-000008,129,2,1178.21,0.0,2356.42,1533.7
13,UB-000008,39,3,868.85,20.0,2085.24,1842.21
14,UB-000008,88,1,685.53,0.0,685.53,553.89
15,UB-000009,63,1,249.68,5.0,237.2,167.23
16,UB-000009,103,2,893.32,0.0,1786.64,1363.04
17,UB-000010,62,2,395.51,10.0,711.92,521.1
18,UB-000011,84,3,1268.73,0.0,3806.19,2436.36
19,UB-000011,46,1,215.09,0.0,215.09,167.81
20,UB-000012,42,1,622.48,0.0,622.48,398.38
21,UB-000012,59,1,290.84,0.0,290.84,241.88
22,UB-000013,95,2,485.93,0.0,971.86,739.6
23,UB-000013,11,1,462.81,15.0,393.39,366.75
24,UB-000013,4,1,789.98,10.0,710.98,608.34
25,UB-000014,75,2,866.52,0.0,1733.04,1175.56
26,UB-000015,9,3,675.98,5.0,1926.54,1505.07
27,UB-000015,85,1,337.77,5.0,320.88,232.68
28,UB-000015,58,4,578.18,5.0,2197.08,1426.24
29,UB-000016,102,2,1237.75,0.0,2475.5,1658.76
30,UB-000016,136,1,1341.81,10.0,1207.63,866.98
31,UB-000016,73,3,974.48,5.0,2777.27,1988.94
32,UB-000017,85,1,325.05,5.0,308.8,232.68
33,UB-000018,56,2,518.87,15.0,882.08,697.56
34,UB-000018,23,5,880.49,0.0,4402.45,3137.7
35,UB-000019,80,4,402.52,0.0,1610.08,1210.32
36,UB-000020,126,2,1238.27,0.0,2476.54,1607.0
37,UB-000021,41,1,919.25,0.0,919.25,743.96
38,UB-000021,52,1,670.33,15.0,569.78,457.32
39,UB-000022,37,4,1074.51,0.0,4298.04,3325.8
40,UB-000022,71,1,186.96,0.0,186.96,122.07
41,UB-000023,47,5,108.92,10.0,490.14,437.4
42,UB-000023,139,1,694.86,10.0,625.37,504.16
43,UB-000023,1,1,306.36,5.0,291.04,210.31
44,UB-000024,26,2,219.98,10.0,395.96,276.98
45,UB-000024,16,2,1082.67,0.0,2165.34,1632.76
46,UB-000025,72,2,997.77,5.0,1895.76,1483.2
47,UB-000025,50,2,428.82,0.0,857.64,655.38
48,UB-000025,78,4,773.4,0.0,3093.6,2179.0
49,UB-000026,123,1,466.09,0.0,466.09,328.9
50,UB-000026,105,4,1234.83,0.0,4939.32,3555.8
51,UB-000026,96,1,496.95,15.0,422.41,367.22
52,UB-000026,103,2,916.7,5.0,1741.73,1363.04
53,UB-000027,129,1,1155.81,0.0,1155.81,766.85
54,UB-000027,11,1,461.5,0.0,461.5,366.75
55,UB-000028,72,5,980.08,0.0,4900.4,3708.0
56,UB-000028,132,1,1213.59,0.0,1213.59,810.08
57,UB-000029,89,1,578.51,10.0,520.66,419.15
58,UB-000029,27,2,1082.78,10.0,1949.0,1782.76
59,UB-000030,42,1,610.11,5.0,579.6,398.38
60,UB-000030,138,2,914.3,20.0,1462.88,1209.2
61,UB-000030,123,1,456.4,0.0,456.4,328.9
62,UB-000030,25,2,638.44,0.0,1276.88,992.56
63,UB-000030,30,3,1396.61,0.0,4189.83,2595.33
64,UB-000031,128,3,177.51,20.0,426.02,425.73
65,UB-000031,21,1,780.18,15.0,663.15,582.06
66,UB-000032,35,2,813.23,0.0,1626.46,1135.26
67,UB-000032,139,1,698.51,0.0,698.51,504.16
68,UB-000032,64,2,325.74,0.0,651.48,428.54
69,UB-000033,85,1,340.53,0.0,340.53,232.68
70,UB-000033,18,3,851.57,0.0,2554.71,1946.13
71,UB-000033,26,2,223.05,0.0,446.1,276.98
72,UB-000033,58,5,556.92,0.0,2784.6,1782.8
73,UB-000034,15,2,1214.93,20.0,1943.89,1710.66
74,UB-000035,1,2,307.3,5.0,583.87,420.62
75,UB-000036,101,1,1094.88,0.0,1094.88,893.27
76,UB-000037,82,1,1022.46,0.0,1022.46,685.33
77,UB-000038,143,2,791.39,0.0,1582.78,1229.42
78,UB-000039,124,1,528.54,15.0,449.26,445.56
79,UB-000039,118,2,625.76,0.0,1251.52,843.58
80,UB-000040,25,1,652.72,10.0,587.45,496.28
81,UB-000040,90,2,689.11,0.0,1378.22,1014.52
82,UB-000040,118,2,623.09,20.0,996.94,843.58
83,UB-000041,136,1,1397.06,5.0,1327.21,866.98
84,UB-000042,71,1,188.76,0.0,188.76,122.07
85,UB-000043,1,3,310.14,5.0,883.9,630.93
86,UB-000043,82,1,1045.02,0.0,1045.02,685.33
87,UB-000043,111,1,642.57,10.0,578.31,556.79
88,UB-000043,101,3,1095.73,20.0,2629.75,2679.81
89,UB-000043,61,1,1082.68,0.0,1082.68,828.14
90,UB-000044,124,2,522.89,0.0,1045.78,891.12
91,UB-000044,123,4,466.68,0.0,1866.72,1315.6
92,UB-000044,76,1,797.73,5.0,757.84,616.89
93,UB-000044,118,3,625.69,10.0,1689.36,1265.37
94,UB-000044,15,3,1227.79,0.0,3683.37,2565.99
95,UB-000045,11,1,464.43,5.0,441.21,366.75
96,UB-000045,22,2,669.14,5.0,1271.37,951.32
97,UB-000045,142,1,488.03,0.0,488.03,406.29
98,UB-000045,28,1,912.8,0.0,912.8,673.25
99,UB-000046,96,1,514.71,20.0,411.77,367.22
100,UB-000046,42,2,613.09,20.0,980.94,796.76
101,UB-000047,141,2,286.15,10.0,515.07,371.34
102,UB-000048,46,2,220.75,15.0,375.27,335.62
103,UB-000048,60,2,188.2,0.0,376.4,289.64
104,UB-000049,103,1,892.66,0.0,892.66,681.52
105,UB-000050,45,2,801.36,10.0,1442.45,1221.74
106,UB-000050,86,1,490.78,10.0,441.7,409.68
107,UB-000051,143,2,811.09,10.0,1459.96,1229.42
108,UB-000051,121,1,916.38,0.0,916.38,683.69
109,UB-000052,95,1,471.78,0.0,471.78,369.8
